House_Age,Years_Since_Remod,Was_Remodeled,Garage_Age,Is_New_House,Total_Living_Area,Total_Area_Including_Garage,Basement_Ratio,Garage_Ratio,First_Second_Ratio,Area_Per_Room,Building_Density,Total_Full_Baths,Total_Half_Baths,Total_Bathrooms,Bath_Bedroom_Ratio,Has_Multiple_Baths,Total_Rooms_Baths,Has_Pool,Has_Fireplace,Has_Garage,Has_Basement,Has_Deck_Porch,Total_Outdoor_SF,Has_Large_Garage,Luxury_Score,Total_Quality_Score,Avg_Quality_Score,Is_High_Quality,Is_Excellent_Quality,Quality_Condition_Score,Is_Single_Family,Is_Two_Story,Is_One_Story,Is_Residential_Low_Density,Quality_x_Size,Premium_Neighborhood_x_Quality,New_x_Quality,Area_x_Bathrooms,Is_Normal_Sale,Is_Partial_Sale,Is_Abnormal_Sale,Is_Peak_Season
50,5,1,5.0,0,2399.0,3295.0,0.7328519855595668,0.6469314079422382,1384.0,197.7142857142857,0.1040523268927148,2.0,0.0,2.0,0.6666666666666666,1,8.0,0,0,1,1,1,398,0,1,9.0,3.0,0,0,10,1,0,1,1,6920,0.0,0,2768.0,1,0,0,1
5,4,1,5.0,0,1758.0,2158.0,0.2792727272727273,0.2909090909090909,1.179080824088748,196.28571428571428,0.1456279809220985,2.0,1.0,2.5,0.625,1,8.5,0,1,1,1,1,100,0,2,12.0,4.0,1,0,12,1,0,0,1,9618,0.0,0,3435.0,1,0,0,0
42,42,0,42.0,0,1780.0,2188.0,0.9679558011049724,0.450828729281768,904.0,129.14285714285714,0.12620410442552,1.0,0.0,1.0,0.25,0,7.0,0,0,1,1,0,0,0,0,9.0,3.0,0,0,12,1,0,1,1,4520,0.0,0,904.0,0,0,1,0
0,0,0,0.0,1,2676.0,3274.0,0.9992531740104555,0.4466019417475728,1338.0,191.14285714285717,0.154843189445666,2.0,0.0,2.0,0.5,1,8.0,0,0,1,1,1,141,0,1,12.0,4.0,1,1,13,1,0,1,0,10704,8.0,8,2676.0,0,1,0,0
54,54,0,54.0,0,2128.0,2436.0,0.8529155787641427,0.268059181897302,1148.0,164.0,0.1787883507241862,1.0,1.0,1.5,0.5,0,7.5,0,0,1,1,0,0,0,0,11.0,3.6666666666666665,0,0,12,1,0,1,1,5740,0.0,0,1722.0,1,0,0,0
2,2,0,2.0,0,3166.0,4056.0,0.9781386633354152,0.5559025608994379,1600.0,200.0,0.1124306092333637,2.0,0.0,2.0,0.5,1,9.0,0,1,1,1,1,56,1,3,12.0,4.0,1,1,13,1,0,1,1,12800,8.0,0,3200.0,1,0,0,1
1,0,1,0.0,1,2516.0,3164.0,0.999205718824464,0.5146942017474185,1258.0,179.71428571428572,0.3206729543716543,2.0,0.0,2.0,0.6666666666666666,1,8.0,0,1,1,1,1,160,1,3,13.0,4.333333333333333,1,0,12,0,0,1,1,8806,0.0,7,2516.0,0,1,0,1
52,52,0,52.0,0,882.0,1190.0,0.0,0.3488108720271801,882.0,176.4,0.0694324175391639,1.0,0.0,1.0,0.3333333333333333,0,5.0,0,0,1,0,1,45,0,1,6.0,2.0,0,0,10,1,0,1,0,4410,0.0,0,882.0,1,0,0,0
0,0,0,0.0,1,3340.0,4268.0,0.9994015559545184,0.5553560742070617,1670.0,238.57142857142856,0.1097312569814048,3.0,1.0,3.5,1.1666666666666667,1,9.5,0,1,1,1,1,440,1,4,13.0,4.333333333333333,1,1,13,1,0,1,1,13360,8.0,8,5845.0,0,1,0,0
48,5,1,33.0,0,2390.0,3014.0,0.8004518072289156,0.4698795180722891,1327.0,165.875,0.1795912843415888,2.0,0.0,2.0,0.5,1,9.0,0,0,1,1,0,0,0,0,10.0,3.333333333333333,0,0,11,1,0,1,1,6635,0.0,0,2654.0,1,0,0,1
8,7,1,8.0,0,2711.0,3221.0,0.4311345646437994,0.2691292875989446,0.76937441643324,210.44444444444449,0.1673588406821596,3.0,1.0,3.5,0.7,1,11.5,0,1,1,1,1,40,0,3,12.0,4.0,1,0,12,1,1,0,1,13258,7.0,0,6629.0,1,0,0,0
69,59,1,0.0,0,1015.0,1015.0,0.6933333333333334,0.0,599.0,119.8,0.1109053878911312,2.0,0.0,2.0,0.6666666666666666,1,6.0,0,0,0,1,1,81,0,1,8.0,2.6666666666666665,0,0,7,1,0,1,1,1198,0.0,0,1198.0,1,0,0,1
12,12,0,12.0,0,2548.0,3048.0,0.9775019394879751,0.3878975950349108,1288.0,257.6,0.0860732424485431,2.0,1.0,2.5,1.25,1,6.5,0,1,1,1,1,374,0,2,13.0,4.333333333333333,1,1,13,0,0,1,1,10304,8.0,0,3220.0,1,0,0,0
6,5,1,6.0,0,1800.0,2280.0,0.4995836802664446,0.3996669442131557,0.9983361064891848,240.0,0.3770028275212064,2.0,1.0,2.5,0.8333333333333334,1,6.5,0,0,1,1,1,172,0,1,12.0,4.0,1,0,12,0,1,0,0,8400,7.0,0,3000.0,1,0,0,1
2,2,0,2.0,0,3388.0,4164.0,0.9994100294985252,0.4578171091445427,1694.0,211.75,0.1617029400534555,2.0,0.0,2.0,0.5,1,9.0,0,0,1,1,1,193,1,2,12.0,4.0,1,1,13,1,0,1,1,13552,0.0,0,3388.0,1,0,0,0
38,38,0,38.0,0,3322.0,3872.0,0.568932955618508,0.2596789423984891,2117.0,264.625,0.1637784310691629,2.0,1.0,2.5,0.5,1,9.5,0,1,1,1,1,42,0,2,9.0,3.0,0,0,13,1,0,1,1,12702,0.0,0,5292.5,1,0,0,1
42,42,0,42.0,0,2292.0,2782.0,0.9665523156089194,0.4202401372212693,1165.0,166.42857142857142,0.129143110519898,2.0,1.0,2.5,0.625,1,8.5,0,0,1,1,1,129,0,1,9.0,3.0,0,0,13,1,0,0,1,6990,0.0,0,2912.5,1,0,0,1
4,4,0,4.0,0,2740.0,3224.0,0.99927060539752,0.3530269876002918,1370.0,195.7142857142857,0.1920650497686807,2.0,0.0,2.0,0.6666666666666666,1,8.0,0,1,1,1,1,169,0,2,12.0,4.0,1,1,13,0,0,1,1,10960,8.0,0,2740.0,1,0,0,0
39,39,0,39.0,0,3120.0,3912.0,0.9993593850096092,0.507367072389494,1560.0,173.33333333333334,0.1799515515053639,2.0,0.0,2.0,0.4,1,10.0,0,0,1,1,0,0,1,1,9.0,3.0,0,0,10,0,0,1,1,7800,0.0,0,3120.0,1,0,0,1
98,25,1,0.0,0,3226.0,3586.0,0.6256926952141058,0.181360201511335,1.6716016150740245,220.44444444444449,0.2450895614576899,2.0,0.0,2.0,0.3333333333333333,1,10.0,0,0,1,1,1,244,0,1,9.0,3.0,0,0,14,0,1,0,0,11904,0.0,0,3968.0,1,0,0,0
22,20,1,22.0,0,3124.0,3702.0,1.1114864864864864,0.3905405405405405,1479.0,184.875,0.1025658807212205,4.0,1.0,4.5,1.125,1,11.5,0,1,1,1,1,462,0,3,11.0,3.6666666666666665,1,0,12,1,0,0,1,10353,7.0,0,6655.5,1,0,0,1
30,30,0,30.0,0,3981.0,4581.0,0.5192674551697826,0.2289202594429607,1.08015873015873,201.53846153846155,0.1386903816632258,2.0,2.0,3.0,0.6,1,15.0,0,1,1,1,1,324,0,2,10.0,3.333333333333333,0,0,10,0,0,1,1,13100,0.0,0,7860.0,1,0,0,0
40,4,1,40.0,0,2052.0,2492.0,0.9990262901655308,0.4284323271665043,1026.0,171.0,0.1293657798512167,2.0,0.0,2.0,0.5,1,7.0,0,0,1,1,1,219,0,1,10.0,3.333333333333333,0,0,14,1,0,1,1,6156,0.0,0,2052.0,1,0,0,1
9,8,1,9.0,0,3971.0,4729.0,0.537746806039489,0.2934572202864886,1.203924914675768,258.2,0.2346632736526402,3.0,1.0,3.5,0.7,1,12.5,0,1,1,1,1,346,1,4,12.0,4.0,1,1,13,1,1,0,1,20656,8.0,0,9037.0,1,0,0,0
88,48,1,78.0,0,3323.0,3716.0,0.4138664398128456,0.1671629094002552,1.4137577002053388,213.63636363636363,0.2447661701906051,2.0,0.0,2.0,0.4,1,12.0,0,0,1,1,1,219,0,1,9.0,3.0,0,0,10,0,1,0,0,11750,0.0,0,4700.0,1,0,0,0
64,59,1,64.0,0,1586.0,1826.0,0.9987405541561712,0.3022670025188917,793.0,158.6,0.0935031246315293,2.0,0.0,2.0,0.6666666666666666,1,6.0,0,0,1,1,0,0,0,0,8.0,2.6666666666666665,0,0,11,1,0,1,1,3965,0.0,0,1586.0,1,0,0,0
15,14,1,14.0,0,5271.0,5937.0,0.6276628589070701,0.2056190182154986,1.7310286677908937,323.8,0.2199578832959717,3.0,1.0,3.5,0.7,1,12.5,0,1,1,1,1,369,1,4,12.0,4.0,1,1,13,1,0,1,1,25904,8.0,0,11333.0,1,0,0,0
83,60,1,65.0,0,1416.0,1856.0,0.8718626155878467,0.5812417437252312,756.0,151.2,0.0816414686825054,1.0,0.0,1.0,0.3333333333333333,0,5.0,0,0,1,1,1,80,0,1,8.0,2.6666666666666665,0,0,8,1,0,1,1,3024,0.0,0,756.0,1,0,0,1
9,8,1,9.0,0,1852.0,2314.0,0.4788507581803671,0.3687150837988827,0.9920508744038156,250.4,0.5793614067561315,3.0,1.0,3.5,1.1666666666666667,1,7.5,0,0,1,1,1,48,0,2,12.0,4.0,1,0,12,0,1,0,0,8764,7.0,0,4382.0,1,0,0,0
34,34,0,34.0,0,2046.0,2934.0,0.9777777777777776,0.8579710144927536,1034.0,147.71428571428572,0.0838673047286884,2.0,0.0,2.0,0.5,1,8.0,0,0,1,1,0,0,1,1,9.0,3.0,0,0,11,1,0,0,1,6204,0.0,0,2068.0,1,0,0,1
37,37,0,11.0,0,1592.0,1928.0,0.998745294855709,0.4215809284818068,796.0,159.2,0.1035110533159947,1.0,1.0,1.5,0.5,0,5.5,0,0,1,1,1,138,0,1,10.0,3.333333333333333,0,0,13,1,0,0,1,3980,0.0,0,1194.0,1,0,0,1
7,7,0,7.0,0,3956.0,4806.0,0.9994946942900454,0.4295098534613441,1978.0,219.77777777777777,0.1903753609239653,3.0,1.0,3.5,0.875,1,11.5,0,1,1,1,1,213,1,4,12.0,4.0,1,1,13,1,0,1,1,15824,0.0,0,6923.0,1,0,0,1
37,37,0,37.0,0,1728.0,2066.0,0.998843930635838,0.3907514450867052,864.0,144.0,0.055655758825045,2.0,0.0,2.0,0.5,1,7.0,0,1,1,1,0,0,0,1,9.0,3.0,0,0,11,1,0,1,1,4320,0.0,0,1728.0,1,0,0,0
4,4,0,4.0,0,2810.0,3288.0,0.9992887624466572,0.3399715504978663,1405.0,200.7142857142857,0.433240826395313,3.0,0.0,3.0,1.0,1,9.0,0,1,1,1,1,172,0,3,12.0,4.0,1,0,12,0,0,1,1,9835,7.0,0,4215.0,1,0,0,0
89,35,1,60.0,0,1736.0,2361.0,0.5676895306859205,0.5640794223826715,1.9081364829396328,184.5,0.1211027239908106,1.0,0.0,1.0,0.3333333333333333,0,6.0,0,0,1,1,1,256,0,1,9.0,3.0,0,0,11,1,0,1,0,6642,0.0,0,1107.0,1,0,0,0
52,52,0,52.0,0,2228.0,2516.0,0.9365768896611644,0.2502172024326672,1150.0,164.28571428571428,0.1197791896677429,2.0,0.0,2.0,0.6666666666666666,1,8.0,0,0,1,1,1,175,0,1,9.0,3.0,0,0,11,1,0,1,1,5750,0.0,0,2300.0,1,0,0,0
43,43,0,43.0,0,2512.0,2788.0,0.9992044550517104,0.2195704057279236,1256.0,179.42857142857142,0.1263835781847454,2.0,1.0,2.5,0.625,1,8.5,0,0,1,1,1,804,0,1,10.0,3.333333333333333,0,0,11,1,0,1,1,6280,0.0,0,3140.0,1,0,0,1
49,1,1,49.0,0,3588.0,3977.0,0.6731934731934732,0.1813519813519813,2.059914407988588,268.0,0.0134841919233212,2.0,1.0,2.5,0.5,1,9.5,0,1,1,1,1,98,0,2,12.0,4.0,0,0,13,1,0,1,1,12864,0.0,0,5360.0,1,0,0,1
38,38,0,38.0,0,2670.0,3200.0,0.5081874647092038,0.2992659514398645,0.9966178128523112,221.25,0.2048374030783474,2.0,1.0,2.5,0.5,1,9.5,0,0,1,1,1,330,0,1,10.0,3.333333333333333,0,0,10,1,1,0,1,8850,0.0,0,4425.0,1,0,0,1
12,11,1,12.0,0,2834.0,3345.0,0.9992947813822284,0.3603667136812412,1417.0,177.125,0.1619243515026854,3.0,0.0,3.0,0.75,1,10.0,0,1,1,1,1,177,0,3,12.0,4.0,1,0,12,1,0,1,1,9919,0.0,0,4251.0,1,0,0,0
85,60,1,84.0,0,1530.0,1730.0,0.9986945169712794,0.2610966057441253,765.0,153.0,0.1529694061187762,2.0,0.0,2.0,0.6666666666666666,1,6.0,0,0,1,1,1,176,0,1,10.0,3.333333333333333,0,0,11,1,0,1,0,3060,0.0,0,1530.0,1,0,0,0
81,26,1,30.0,0,2206.0,2646.0,0.9990942028985508,0.3985507246376811,1103.0,183.83333333333331,0.183802699550075,1.0,0.0,1.0,0.3333333333333333,0,6.0,0,1,1,1,1,286,0,2,10.0,3.333333333333333,0,0,12,1,0,1,0,6618,0.0,0,1103.0,1,0,0,1
42,42,0,42.0,0,2428.0,2889.0,0.9991769547325104,0.3794238683127572,1214.0,173.42857142857142,0.1323737869370843,2.0,0.0,2.0,0.6666666666666666,1,8.0,0,0,1,1,1,184,0,1,9.0,3.0,0,0,12,1,0,1,1,6070,0.0,0,2428.0,1,0,0,0
49,49,0,49.0,0,2543.0,2874.0,0.8637362637362638,0.2424908424908425,1364.0,194.8571428571429,0.1623616236162361,1.0,1.0,1.5,0.375,0,7.5,0,1,1,1,1,60,0,2,8.0,2.6666666666666665,0,0,10,1,0,1,1,6820,0.0,0,2046.0,1,0,0,0
43,5,1,43.0,0,1984.0,2640.0,0.7707404103479036,0.5851917930419268,1120.0,186.66666666666663,0.1045654000560171,1.0,1.0,1.5,0.375,0,6.5,0,1,1,1,1,162,0,2,10.0,3.333333333333333,0,0,12,1,0,1,1,5600,0.0,0,1680.0,1,0,0,1
93,1,1,0.0,0,2039.0,2039.0,0.504424778761062,0.0,1.3259005145797598,169.375,0.196861833502833,1.0,1.0,1.5,0.375,0,8.5,0,0,0,1,1,251,0,1,10.0,3.333333333333333,0,0,13,1,1,0,0,8130,0.0,0,2032.5,1,0,0,0
3,3,0,3.0,0,2756.0,3296.0,0.9992748368382888,0.3915881073241479,1378.0,196.8571428571429,0.3146118721461187,3.0,0.0,3.0,1.0,1,9.0,0,1,1,1,1,216,0,3,12.0,4.0,1,1,13,0,0,1,0,11024,8.0,0,4134.0,1,0,0,1
1,0,1,1.0,1,2184.0,2574.0,0.4996568291008922,0.2676733013040494,0.9986282578875172,161.77777777777777,0.1720633419995273,2.0,1.0,2.5,0.625,1,10.5,0,1,1,1,1,24,0,2,12.0,4.0,0,0,11,1,1,0,1,8736,0.0,6,3640.0,0,1,0,1
11,10,1,11.0,0,2189.0,2598.0,0.4609739826551034,0.2728485657104736,0.8551980198019802,214.0,0.1149478207489257,2.0,1.0,2.5,0.625,1,8.5,0,1,1,1,1,359,0,2,10.0,3.333333333333333,0,0,11,1,1,0,1,8988,0.0,0,3745.0,1,0,0,1
97,58,1,0.0,0,2904.0,2904.0,0.4783715012722646,0.0,1.0882040382571732,245.5,0.2303542106497771,1.0,1.0,1.5,0.3,0,8.5,0,0,0,1,1,192,0,1,9.0,3.0,0,0,11,1,1,0,0,9820,0.0,0,2946.0,0,0,1,0
5,4,1,5.0,0,3136.0,3700.0,0.9993626513702996,0.3594646271510516,1568.0,224.0,0.2183539896950285,2.0,0.0,2.0,0.5,1,8.0,0,1,1,1,1,266,0,2,12.0,4.0,1,1,13,1,0,1,0,12544,8.0,0,3136.0,1,0,0,0
82,58,1,82.0,0,2005.0,2165.0,0.9783037475345168,0.1577909270216962,1013.0,144.71428571428572,0.2025594881023795,1.0,0.0,1.0,0.25,0,7.0,0,0,1,1,1,101,0,1,9.0,3.0,0,0,13,1,0,1,0,6078,0.0,0,1013.0,1,0,0,0
59,59,0,59.0,0,2400.0,2646.0,0.9991673605328892,0.2048293089092423,1200.0,171.42857142857142,0.1249869805228622,1.0,0.0,1.0,0.25,0,7.0,0,0,1,1,1,126,0,1,9.0,3.0,0,0,11,1,0,1,1,6000,0.0,0,1200.0,1,0,0,0
52,2,1,0.0,0,1716.0,1716.0,0.9988358556461,0.0,858.0,171.6,0.1190344062153163,2.0,0.0,2.0,0.6666666666666666,1,6.0,0,0,0,1,1,117,0,1,9.0,3.0,0,0,12,1,0,1,1,4290,0.0,0,1716.0,1,0,0,0
7,7,0,7.0,0,4929.0,5770.0,0.5030487804878049,0.2564024390243902,1.0628930817610065,252.23076923076923,0.0612839921502663,4.0,1.0,4.5,0.9,1,16.5,0,1,1,1,1,749,1,4,14.0,4.666666666666667,1,1,13,1,1,0,1,26232,8.0,0,14755.5,1,0,0,1
4,4,0,4.0,0,3060.0,3490.0,0.999346832135859,0.2808621815806662,1530.0,191.25,0.0946840769849619,3.0,0.0,3.0,0.75,1,10.0,0,1,1,1,1,204,0,3,13.0,4.333333333333333,1,0,12,1,0,1,1,10710,7.0,0,4590.0,1,0,0,1
41,41,0,41.0,0,1824.0,2139.0,0.9989047097480832,0.3450164293537787,912.0,130.28571428571428,0.1116279069767441,2.0,0.0,2.0,0.5,1,8.0,0,0,1,1,1,204,0,1,10.0,3.333333333333333,0,0,12,1,0,1,1,4560,0.0,0,1824.0,1,0,0,1
2,2,0,2.0,0,2955.0,3615.0,0.8828025477707007,0.4203821656050955,1569.0,196.125,0.4315181518151815,2.0,1.0,2.5,1.25,1,9.5,0,1,1,1,1,163,1,3,12.0,4.0,1,0,12,0,0,1,1,10983,0.0,0,3922.5,1,0,0,1
31,31,0,31.0,0,2878.0,3429.0,0.4175283111767602,0.2712949286065977,1.2245345016429354,225.55555555555557,0.168506682161534,2.0,1.0,2.5,0.5,1,10.5,0,1,1,1,1,224,0,2,10.0,3.333333333333333,0,0,12,1,1,0,1,12180,0.0,0,5075.0,1,0,0,1
5,4,1,5.0,0,2442.0,2842.0,0.9991816693944352,0.3273322422258592,1221.0,174.42857142857142,0.1627782962271697,3.0,0.0,3.0,1.0,1,9.0,0,0,1,1,1,113,0,2,12.0,4.0,1,0,12,1,0,1,0,8547,7.0,0,3663.0,1,0,0,0
2,2,0,2.0,0,3180.0,3990.0,0.9844042420461634,0.5053025577043044,1602.0,200.25,0.1570434271149887,3.0,0.0,3.0,0.75,1,10.0,0,1,1,1,1,243,1,4,12.0,4.0,1,1,13,1,0,1,1,12816,0.0,0,4806.0,1,0,0,0
89,9,1,4.0,0,1880.0,2408.0,0.5714285714285714,0.4411027568922305,1.3333333333333333,149.5,0.0968029138000809,1.0,0.0,1.0,0.25,0,8.0,0,0,1,1,1,46,0,1,10.0,3.333333333333333,0,0,14,1,0,1,1,7176,0.0,0,1196.0,1,0,0,0
37,37,0,20.0,0,1536.0,2160.0,0.9986996098829648,0.811443433029909,768.0,128.0,0.1060041407867494,2.0,0.0,2.0,0.6666666666666666,1,7.0,0,0,1,1,1,104,0,1,10.0,3.333333333333333,0,0,12,1,0,0,1,3840,0.0,0,1536.0,1,0,0,0
57,5,1,27.0,0,1728.0,2448.0,0.998843930635838,0.8323699421965318,864.0,144.0,0.1199833356478266,2.0,0.0,2.0,0.5,1,7.0,0,0,1,1,1,194,0,1,10.0,3.333333333333333,0,0,13,1,0,1,1,4320,0.0,0,1728.0,1,0,0,1
7,7,0,7.0,0,2591.0,3106.0,0.4811428571428571,0.2942857142857142,0.9574944071588368,218.625,0.1886120996441281,2.0,1.0,2.5,0.625,1,9.5,0,0,1,1,1,225,0,1,12.0,4.0,1,0,12,1,1,0,1,12243,0.0,0,4372.5,1,0,0,1
0,0,0,0.0,1,5104.0,6036.0,0.99960830395613,0.3650607128867998,2552.0,283.55555555555554,0.1837028505614742,3.0,0.0,3.0,0.75,1,11.0,0,1,1,1,1,158,1,4,15.0,5.0,1,1,14,1,0,1,1,22968,9.0,9,7656.0,0,1,0,0
1,1,0,1.0,1,3035.0,3569.0,0.9895150720838796,0.3499344692005242,1525.0,217.8571428571429,0.139434945597513,2.0,1.0,2.5,0.625,1,8.5,0,1,1,1,1,118,0,2,12.0,4.0,1,0,12,1,0,1,1,10675,0.0,7,3812.5,0,1,0,0
1,1,0,1.0,1,3164.0,4069.0,0.9993682880606444,0.5716993051168667,1582.0,197.75,0.1245179063360881,3.0,0.0,3.0,0.75,1,10.0,0,0,1,1,1,304,1,3,13.0,4.333333333333333,1,1,13,1,0,1,1,12656,8.0,8,4746.0,0,1,0,0
1,1,0,1.0,1,1984.0,2468.0,0.4627855563743552,0.3566691230655858,0.8614540466392319,193.7142857142857,0.1277196948290477,2.0,1.0,2.5,0.625,1,8.5,0,1,1,1,1,124,0,2,12.0,4.0,1,0,12,1,1,0,1,9492,0.0,7,3390.0,0,1,0,0
88,43,1,73.0,0,2074.0,2362.0,0.4300482425913163,0.1984838042729152,1.0124826629681,181.25,0.2709773874042235,1.0,0.0,1.0,0.25,0,8.0,0,0,1,1,1,192,0,1,9.0,3.0,1,0,15,1,1,0,0,10150,0.0,0,1450.0,1,0,0,0
91,56,1,32.0,0,2258.0,2786.0,0.4154135338345864,0.3308270676691729,0.9416058394160584,199.375,0.2214970143035689,2.0,0.0,2.0,0.5,1,9.0,0,1,1,1,1,280,0,2,9.0,3.0,0,0,14,1,1,0,1,9570,0.0,0,3190.0,1,0,0,0
52,50,1,52.0,0,2208.0,2592.0,0.9990950226244344,0.3475113122171945,1104.0,184.0,0.1058891233454824,2.0,0.0,2.0,0.5,1,7.0,0,0,1,1,0,0,0,0,9.0,3.0,0,0,10,1,0,1,1,5520,0.0,0,2208.0,1,0,0,0
31,31,0,31.0,0,3066.0,3642.0,0.999348109517601,0.3754889178617992,1533.0,255.5,0.0216641700347644,3.0,0.0,3.0,1.0,1,8.0,0,1,1,1,1,254,0,3,11.0,3.6666666666666665,1,0,12,1,0,1,1,10731,0.0,0,4599.0,1,0,0,0
11,10,1,11.0,0,2836.0,3394.0,0.9992952783650458,0.3932346723044397,1418.0,236.33333333333331,0.1630447280671496,3.0,0.0,3.0,0.75,1,8.0,0,1,1,1,1,318,0,3,11.0,3.6666666666666665,1,0,12,1,0,1,1,9926,0.0,0,4254.0,1,0,0,1
43,43,0,21.0,0,3456.0,4032.0,0.9994216310005783,0.3331405436668594,1728.0,157.0909090909091,0.1318882613341474,2.0,0.0,2.0,0.2857142857142857,1,12.0,0,0,1,1,0,0,0,0,9.0,3.0,0,0,10,0,0,1,1,8640,0.0,0,3456.0,1,0,0,0
51,51,0,51.0,0,3098.0,3545.0,0.8218694885361552,0.2627865961199294,1700.0,242.8571428571429,0.1610916327110774,1.0,2.0,2.0,0.4,0,8.0,0,1,1,1,1,38,0,2,10.0,3.333333333333333,0,0,10,1,0,1,1,8500,0.0,0,3400.0,1,0,0,0
0,0,0,0.0,1,11752.0,13170.0,1.082757398546872,0.251284777600567,4.933753943217666,434.0,0.0883107938893062,4.0,1.0,4.5,1.125,1,16.5,1,1,1,1,1,506,0,4,15.0,5.0,1,1,15,1,1,0,1,56420,0.0,10,25389.0,0,1,0,0
2,1,1,1.0,0,4020.0,4766.0,0.991579990094106,0.3694898464586429,2018.0,183.45454545454547,0.1527052591751797,2.0,0.0,2.0,0.5,1,12.0,0,1,1,1,1,220,1,3,15.0,5.0,1,1,14,1,0,1,1,18162,9.0,0,4036.0,1,0,0,1
9,9,0,9.0,0,2293.0,2733.0,0.48,0.2838709677419355,0.9546027742749056,221.28571428571428,0.6790881192459448,3.0,1.0,3.5,0.875,1,9.5,0,0,1,1,1,32,0,2,10.0,3.333333333333333,0,0,11,0,1,0,0,9294,6.0,0,5421.5,1,0,0,0
32,32,0,32.0,0,1828.0,2179.0,0.9730312837108952,0.3786407766990291,926.0,154.33333333333334,0.0949646190134345,2.0,0.0,2.0,0.6666666666666666,1,7.0,0,1,1,1,1,319,0,2,9.0,3.0,0,0,12,1,0,0,1,5556,0.0,0,1852.0,1,0,0,0
